,Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Genres,Label,Copyrights,Album Release Year
4746,spotify:track:0XAokZfz6DkQuruUVEX1ei,Drive You Mad,spotify:artist:2DORQjKJVYZMx9uu82UGtT,Amy Shark,spotify:album:2DRo3csimVdO1FGEQHKrZu,Night Thinker - EP,spotify:artist:2DORQjKJVYZMx9uu82UGtT,Amy Shark,2017-04-21,https://i.scdn.co/image/ab67616d0000b273ba61e688ca485e08e29a94f1,1,1,212182,https://p.scdn.co/mp3-preview/437417b4536778a7581afce65209041d80dbc130?cid=9950ac751e34487dbbe027c4fd7f8e99,False,38,AUBM01700387,spotify:user:bradnumber1,2021-08-08T09:26:31Z,australian pop,0.5,0.714,7.0,-6.758,1.0,0.0522,0.0136,0.0628,0.088,0.356,162.009,4.0,,Wonderlick,P (P) 2017 Amy Shark under exclusive license to the Wonderlick Recording Company/Sony Music Entertainment Australia Pty Ltd.,2017
4747,spotify:track:7oULk6VxtOdXFZB3Xwqekj,She Wears My Ring,spotify:artist:53xt77SWSCBxurJQWuxUkM,Johnny O'Keefe,spotify:album:7dlDws3T6RBEO0QvFSVPow,The Wild One,spotify:artist:53xt77SWSCBxurJQWuxUkM,Johnny O'Keefe,2001,https://i.scdn.co/image/ab67616d0000b273b6ee8a754ff6dd988c24714e,1,14,135493,https://p.scdn.co/mp3-preview/ebec2050fdcc96ea7f19d093ccb14a81b45bc1d3?cid=9950ac751e34487dbbe027c4fd7f8e99,False,12,AUFE09800257,spotify:user:bradnumber1,2021-08-08T09:26:31Z,australian rock,0.251,0.691,5.0,-6.889,1.0,0.0361,0.722,0.00027,0.855,0.614,100.873,4.0,,WM Australia,"C © 2001 Festival Records, P ℗ 2001 Festival Records",2001
4748,spotify:track:5W04joH7VXgHjdNugoWmOB,Little Wonders - Radio Version,spotify:artist:3aBkeBhwadnWMWoVJ2CxJC,Rob Thomas,spotify:album:6XFCi6hmFtxqknxyb6XMk7,Little Wonders,spotify:artist:3aBkeBhwadnWMWoVJ2CxJC,Rob Thomas,2007-04-07,https://i.scdn.co/image/ab67616d0000b2739ad56abcc8462185fb8d4a12,1,1,225506,https://p.scdn.co/mp3-preview/d9d30528c30d5d159bd1329fd285ecb404fd8e53?cid=9950ac751e34487dbbe027c4fd7f8e99,False,51,USAT20700262,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"neo mellow,pop rock,post-grunge",0.268,0.765,9.0,-4.891,1.0,0.0419,0.0298,0.0,0.0852,0.262,167.22,4.0,,Melisma/Atlantic Records,"C © 2007 Disney Enterprises, Inc., P ℗ 2007 Walt Disney Records.",2007
4754,spotify:track:4NBASiUXghS8tKTDYDbxtP,Drive,spotify:artist:2JQme5IJ3U7SRVQqHGN2fG,Shannon Noll,spotify:album:5wAoxrSVetP84EXgr4Tp3z,That's What I'm Talking About,spotify:artist:2JQme5IJ3U7SRVQqHGN2fG,Shannon Noll,2001-01-01,https://i.scdn.co/image/ab67616d0000b273c5e4c7bd0dce0d6619b8cdda,1,1,238986,https://p.scdn.co/mp3-preview/8177e5b60f3a545d375329b3d83db79fd2887b9a?cid=9950ac751e34487dbbe027c4fd7f8e99,False,42,AUBM00447804,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"australian pop,australian rock",0.601,0.887,9.0,-4.083,1.0,0.0598,0.00346,0.00245,0.0792,0.829,126.011,4.0,,BMG Music,P (P) 2004 BMG Australia Limited,2001
4755,spotify:track:4CU6WHrOTupJ6XgeYAAeCO,Uptown,spotify:artist:7rewR1TVjhisjI6gauUamf,The Crystals,spotify:album:11ho9FxQbJjMbQn1P1yWpm,Da Doo Ron Ron: The Very Best of The Crystals,spotify:artist:7rewR1TVjhisjI6gauUamf,The Crystals,2011-02-22,https://i.scdn.co/image/ab67616d0000b273a93e542069f023c3c9be9b8d,1,3,141226,https://p.scdn.co/mp3-preview/23c6d989e4e6d2672ca1d54a689b734f6ec01f6e?cid=9950ac751e34487dbbe027c4fd7f8e99,False,23,USQX91100107,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"classic girl group,doo-wop,rock-and-roll",0.665,0.699,0.0,-7.875,1.0,0.0302,0.372,0.000151,0.146,0.785,112.623,4.0,,Legacy Recordings,"P (P) 2011 Phil Spector Records, Inc. Under exclusive license to EMI Blackwood Music Inc./Sony Music Entertainment",2011
4757,spotify:track:1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),"spotify:artist:4nDoRrQiYLoBzwC5BhVJzF, spotify:artist:50co4Is1HCEo8bhOyUWKpn","Camila Cabello, Young Thug",spotify:album:2vD3zSQr8hNlg0obNel4TE,Camila,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,2018-01-12,https://i.scdn.co/image/ab67616d0000b2736eb0b9e73adcf04e4ed3eca4,1,4,217306,https://p.scdn.co/mp3-preview/49653dbbec996f228cb6edc046d318cd5a249ee6?cid=9950ac751e34487dbbe027c4fd7f8e99,False,83,USSM11706905,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,pop,atl hip hop,atl trap,gangster rap,melodic rap,rap,trap",0.765,0.523,2.0,-4.333,1.0,0.03,0.184,3.56e-05,0.132,0.394,104.988,4.0,,Syco Music/Epic,"P (P) 2018 Simco Ltd. under exclusive license to Epic Records, a division of Sony Music Entertainment",2018
4759,spotify:track:40Jgygtly3kSz6yAHcl7uw,A Thousand Years (Glee Cast Version),spotify:artist:0SCbttzoZTnLFebDYmAWCm,Glee Cast,spotify:album:0rLXfYhB8f6PkC04RNiWoR,A Thousand Years (Glee Cast Version),spotify:artist:0SCbttzoZTnLFebDYmAWCm,Glee Cast,2013-02-05,https://i.scdn.co/image/ab67616d0000b2733e397e45f31f70cb5e4c8742,1,1,306786,,False,0,USQX91300072,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"glee club,post-teen pop",0.412,0.353,10.0,-8.025,1.0,0.0273,0.752,0.0,0.114,0.126,139.959,3.0,,Columbia,P (P) 2013 Twentieth Century Fox Film Corporation,2013
4761,spotify:track:646q8KXpCZB40MU3OwyAlC,Inside Outside,spotify:artist:08umUXhtQEChP8ode5a978,Sophie Monk,spotify:album:2pXo5XBi0QdBjOoXI6hWor,Calendar Girl,spotify:artist:08umUXhtQEChP8ode5a978,Sophie Monk,2003-01-01,https://i.scdn.co/image/ab67616d0000b273185c4f1cd2f25e98c03d08c8,1,8,248266,https://p.scdn.co/mp3-preview/f37611e9d3c0cc2ee09cf10d8f022db89f05e8cb?cid=9950ac751e34487dbbe027c4fd7f8e99,False,19,AUWA00209100,spotify:user:bradnumber1,2021-08-08T09:26:31Z,australian pop,0.69,0.882,9.0,-3.347,0.0,0.0417,0.0207,4.36e-05,0.228,0.569,126.938,4.0,,WM Australia,"C © 2003 Warner Music Australia, P ℗ 2003 Warner Music Australia",2003
4765,spotify:track:0Qh38w01QRXK6KHIv0e3hb,What About Us,spotify:artist:1KCSPY1glIKqW2TotWuXOR,P!nk,spotify:album:7hwhuEQT4Fp5bzwLlYZtiz,Beautiful Trauma,spotify:artist:1KCSPY1glIKqW2TotWuXOR,P!nk,2017-10-13,https://i.scdn.co/image/ab67616d0000b27300164c96548a622d34b39828,1,4,269600,https://p.scdn.co/mp3-preview/2af485dcb9d7635367136b17ee74b88d8e895229?cid=9950ac751e34487dbbe027c4fd7f8e99,False,79,USRC11701586,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,pop",0.491,0.588,1.0,-6.177,1.0,0.0506,0.0281,2.01e-06,0.0906,0.193,113.608,4.0,,RCA Records Label,"P (P) 2017 RCA Records, a division of Sony Music Entertainment",2017
4766,spotify:track:1z7FW0nlEBGtQWQ19kz7qp,I Got It From My Mama,spotify:artist:085pc2PYOi8bGKj0PNjekA,will.i.am,spotify:album:54QnPX7chtQZtmtTYH5oq1,Songs About Girls,spotify:artist:085pc2PYOi8bGKj0PNjekA,will.i.am,2007-01-01,https://i.scdn.co/image/ab67616d0000b273f0a6041d3ab38beba5aa9f70,1,3,241520,https://p.scdn.co/mp3-preview/a69230ada197cc2927533d44ccc7bccc1ce51468?cid=9950ac751e34487dbbe027c4fd7f8e99,False,52,USUM70745336,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,pop",0.888,0.777,6.0,-6.262,1.0,0.0505,0.0961,3.14e-05,0.0514,0.876,118.998,4.0,,Interscope,"C © 2007 Interscope Records, P ℗ 2007 Interscope Records",2007
4767,spotify:track:6iaugnXQQE3Pq5t7IIS8Ed,I Love The Nightlife (Disco 'Round),spotify:artist:1UY4oIFpjCKe5qIhKDcloe,Alicia Bridges,spotify:album:6YxZJJWvWQvFhXgdSSFe6Y,100 70s,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,Various Artists,2012-01-01,https://i.scdn.co/image/ab67616d0000b27339989a93bf26a4b1c2aab012,5,1,333584,,False,0,USF067825140,spotify:user:bradnumber1,2021-08-08T09:26:31Z,disco,0.751,0.672,7.0,-10.587,1.0,0.0383,0.0561,0.658,0.22,0.972,124.509,4.0,,Universal Music,"C © 2012 Universal International Music B.V., P ℗ 2012 Universal International Music B.V.",2012
4770,spotify:track:1dm00I58PW9kfpQ7su2opJ,Wild Horses,spotify:artist:6ltcwvni6HdZAJaWhmIvNR,Gino Vannelli,spotify:album:1hzeOHyZNRjgAJyIKPfEIn,The Best and Beyond,spotify:artist:6ltcwvni6HdZAJaWhmIvNR,Gino Vannelli,2009-10-30,https://i.scdn.co/image/ab67616d0000b27398bb588b26efe0bb9645cf81,1,2,356022,https://p.scdn.co/mp3-preview/9fc2a1b80713b3e2ab9438e61204de1caeac58b5?cid=9950ac751e34487dbbe027c4fd7f8e99,False,41,ITS040900666,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"classic canadian rock,soft rock,yacht rock",0.534,0.875,1.0,-5.637,1.0,0.0407,0.214,0.000184,0.0516,0.727,168.95,4.0,,Azzurra music,"C Azzurra Music, P Azzurra Music",2009
4772,spotify:track:4PXBKAIwXNzUa67cbInmXo,Are You Sure,spotify:artist:5W5bDNCqJ1jbCgTxDD0Cb3,Willie Nelson,spotify:album:1CHi9dLYMpVv9seu83fRPA,"Willie Nelson: The Demos Project, Vol. One",spotify:artist:5W5bDNCqJ1jbCgTxDD0Cb3,Willie Nelson,2016-09-16,https://i.scdn.co/image/ab67616d0000b273b5bb55775aaceeb5922d65dc,1,6,127454,https://p.scdn.co/mp3-preview/343287b56e418c24b3417db76077b73af9afdac3?cid=9950ac751e34487dbbe027c4fd7f8e99,False,36,USJGN1614363,spotify:user:bradnumber1,2022-09-19T23:21:22Z,"classic country pop,classic texas country,country,country rock,nashville sound,outlaw country,singer-songwriter",0.586,0.0205,10.0,-15.556,1.0,0.0559,0.961,1.91e-06,0.11,0.253,94.463,4.0,,Sony/ATV Music,C (C) 2016 Sony/ATV Nashville,2016
4773,spotify:track:3lJASPixida6lWj7iV8Dv7,Endless Road,spotify:artist:23DeFeMRFRhnfMfawvqFne,Time Bandits,spotify:album:3jQ7FN3TU3XEOeJqdS4NSf,As Life...,spotify:artist:23DeFeMRFRhnfMfawvqFne,Time Bandits,2012-02-27,https://i.scdn.co/image/ab67616d0000b273104ee4a0ab0c86ede79911b1,1,2,248746,,False,0,NL-W2R-17-07278,spotify:user:bradnumber1,2021-08-08T09:26:31Z,nederpop,0.497,0.678,0.0,-6.925,1.0,0.0281,0.161,1.6e-05,0.103,0.356,128.454,4.0,,SWV Records,"C Hidden Valley Records/SwV Records, P Hidden Valley Records/SwV Records",2012
4777,spotify:track:0ixcINi5cnueFsWNllV2ou,My First Kiss (feat. Ke$ha),"spotify:artist:0FWzNDaEu9jdgcYTbcOa4F, spotify:artist:6LqNN22kT3074XbTVUrhzX","3OH!3, Kesha",spotify:album:4AxDQ4lIaW71hmUQnbYDVE,Streets Of Gold,spotify:artist:0FWzNDaEu9jdgcYTbcOa4F,3OH!3,2010-06-25,https://i.scdn.co/image/ab67616d0000b273b9933fcc3668139db9c4bdb5,1,3,192440,https://p.scdn.co/mp3-preview/026575522e55e2b3a1839b77d80b3f3e8771deb3?cid=9950ac751e34487dbbe027c4fd7f8e99,False,51,USAT21000648,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"electropowerpop,pop punk,pop rap,post-teen pop,dance pop,pop",0.682,0.889,0.0,-4.166,1.0,0.0804,0.00564,0.0,0.36,0.827,138.021,4.0,,Photo Finish,"C © 2010 Photo Finish Records, LLC. All Rights Reserved. Manufactured and Distributed by Atlantic Recording Corporation, a Warner Music Group Company., P ℗ 2010 Photo Finish Records, LLC. All Rights Reserved. Manufactured and Distributed by Atlantic Recording Corporation, a Warner Music Group Company.",2010
4779,spotify:track:6sqNctd7MlJoKDOxPVCAvU,My Happy Ending,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,spotify:album:7851Vsjv3apS52sXUik6iF,Under My Skin,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,2004,https://i.scdn.co/image/ab67616d0000b2739c291af4bf0c3071847f2b80,1,6,242413,https://p.scdn.co/mp3-preview/152a7664beba40d2666fd5ec840ee5f8dfdfa8ec?cid=9950ac751e34487dbbe027c4fd7f8e99,True,72,USAR10400486,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"canadian pop,candy pop,pop",0.414,0.936,2.0,-2.407,1.0,0.0758,0.00136,0.0,0.369,0.74,170.229,4.0,,Arista,P (P) 2004 Arista Records LLC,2004
4782,spotify:track:5qtkvVNDdfCT7QAW726uvO,Where Is The Love?,spotify:artist:1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,spotify:album:2BOk4Z6qzZrsQ4GrBjMSS2,R&B Collaborations 2007 (International Version),spotify:artist:0LyfQWJT6nXafLPZqxe9Of,Various Artists,2007-01-01,https://i.scdn.co/image/ab67616d0000b273696328b8261ae406272fd068,1,4,273066,,False,0,USIR10311862,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,pop,pop rap",0.826,0.679,5.0,-4.086,1.0,0.192,0.115,0.0,0.141,0.829,94.062,4.0,,Universal Music LLC,"C (C) 2007 Universal Music International Ltd., P (P) 2007 Universal Music International Ltd.",2007
4783,spotify:track:618v3huzqDQQBfMogznSb3,Fast Car - Acoustic,"spotify:artist:1HBjj22wzbscIZ9sEb5dyf, spotify:artist:2zzpznMuhKlKlqh1ma7Sms","Jonas Blue, Dakota",spotify:album:6UcZPki3VoKEEQrI6nDON7,Fast Car (Acoustic),spotify:artist:1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,2016-02-01,https://i.scdn.co/image/ab67616d0000b273a1deaab1886a782df0f80d90,1,1,217864,https://p.scdn.co/mp3-preview/f298e1b63337f9fec24e8930915e9ad158e040ae?cid=9950ac751e34487dbbe027c4fd7f8e99,False,65,GBUM71600355,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"pop,pop dance,tropical house,uk dance",0.475,0.237,9.0,-9.923,1.0,0.0342,0.865,0.0,0.0881,0.595,103.045,4.0,,Positiva,"C © 2016 Universal Music Operations Limited, P ℗ 2016 Universal Music Operations Limited",2016
4784,spotify:track:0sWH7Tl6GHiXdbG89xnfyl,Circus - Remastered,spotify:artist:26dSoYclwsYLMAKD3tpOr4,Britney Spears,spotify:album:2ti2e8J05nwg9ikcMjW8aS,The Essential Britney Spears,spotify:artist:26dSoYclwsYLMAKD3tpOr4,Britney Spears,2014-07-29,https://i.scdn.co/image/ab67616d0000b273e2d88ce9b368639664aa7847,2,9,191746,https://p.scdn.co/mp3-preview/1bee918b0b1955224b99e14345f21461be148e6d?cid=9950ac751e34487dbbe027c4fd7f8e99,False,35,USJI10900638,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,pop",0.795,0.729,6.0,-5.349,0.0,0.0539,0.148,0.000297,0.0786,0.727,114.97,4.0,,Jive/Legacy,"P This Compilation (P) 2013 RCA Records, a division of Sony Music Entertainment",2014
4786,spotify:track:4sPAsxBojtfVfIbxR01QsQ,I Need to Be In Love,spotify:artist:2wSrZOe6YVo6XoKma22sdY,Dami Im,spotify:album:0wBP8GaN80GPolmY8M19em,Classic Carpenters,spotify:artist:2wSrZOe6YVo6XoKma22sdY,Dami Im,2016-04-22,https://i.scdn.co/image/ab67616d0000b273e0883bb3ac31d595172c0a82,1,9,235986,https://p.scdn.co/mp3-preview/90e3d1f0899f82b38557994b1f1a4b098128c193?cid=9950ac751e34487dbbe027c4fd7f8e99,False,21,AUBM01600046,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"australian pop,australian talent show,talent show",0.416,0.152,10.0,-9.037,1.0,0.0312,0.961,0.000122,0.121,0.0652,129.216,4.0,,Sony Music Entertainment,P (P) 2016 Sony Music Entertainment Australia Pty Ltd.,2016
4788,spotify:track:7M02kXq1w8EppeQzkc8BoB,Rubberneckin' - Paul Oakenfold Remix / Radio Edit,spotify:artist:43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,spotify:album:0p8PgHjOZJ6MrbHUXQ8ENM,Elvis 2nd To None,spotify:artist:43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,2003-10-07,https://i.scdn.co/image/ab67616d0000b273fff6b0a441b0d673ee820528,1,30,209240,https://p.scdn.co/mp3-preview/2e4db2149e75fcf563a32f788ae87603de76eadf?cid=9950ac751e34487dbbe027c4fd7f8e99,False,43,USRC10301117,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"rock-and-roll,rockabilly",0.583,0.895,0.0,-6.024,1.0,0.0325,0.000785,0.000158,0.122,0.931,141.986,4.0,,SBME Strategic Marketing Group,P (P) 2003 Sony Music Entertainment,2003
4791,spotify:track:59wpu37k02o2UGZIPpcSPd,Jai Ho! (You Are My Destiny),"spotify:artist:1mYsTxnqsietFxj1OgoGbG, spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ, spotify:artist:40xbWSB4JPdOkRyuTDy1oP","A.R. Rahman, The Pussycat Dolls, Nicole Scherzinger",spotify:album:06OZaoXnpO90Pgn688eMFS,Jai Ho! (You Are My Destiny),"spotify:artist:1mYsTxnqsietFxj1OgoGbG, spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ","A.R. Rahman, The Pussycat Dolls",2009-01-01,https://i.scdn.co/image/ab67616d0000b2732a0b8013accd599ec3f4838f,1,1,222400,,False,0,USUM70954362,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"filmi,dance pop,girl group,pop,dance pop,pop",0.657,0.941,8.0,-3.919,0.0,0.061,0.0476,0.0,0.0797,0.879,136.202,4.0,,A&M,"C © 2009 Pussycat Dolls, LLC/Celador Films Ltd., P ℗ 2009 Pussycat Dolls, LLC/Celador Films Ltd.",2009
4799,spotify:track:4YyuwoqVL9qudymoZ6n69O,All Cried Out,spotify:artist:1VPr8y4GGZJBtWyaoLdYUT,Allure,spotify:album:3ChG0pQjLzXun4DNbqnDfp,90s R&B,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,Various Artists,2014-09-26,https://i.scdn.co/image/ab67616d0000b273defddcc1c5b525859b81ebc8,1,14,268626,https://p.scdn.co/mp3-preview/b85b9d975c79224a8bb4d0cc000adc627b043e71?cid=9950ac751e34487dbbe027c4fd7f8e99,False,24,USSM19700179,spotify:user:bradnumber1,2021-08-08T09:26:31Z,contemporary r&b,0.594,0.541,1.0,-6.689,1.0,0.025,0.117,0.0,0.0942,0.18,139.827,4.0,,Sony Music Entertainment,P (P) 2014 Sony Music Entertainment,2014
4800,spotify:track:21YnmkSDhUkmkkni22Svc4,In My Blood,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,spotify:album:6AjREacSERvnQTe6GFTx3c,Shawn Mendes,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,2018-05-25,https://i.scdn.co/image/ab67616d0000b2733a2178ae7cf4e68cad643f7e,1,1,211360,,False,0,USUM71803183,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"canadian pop,pop,viral pop",0.622,0.709,5.0,-7.32,1.0,0.0669,0.0582,0.0,0.126,0.488,140.018,4.0,,Island Records,"C © 2018 Island Records, a division of UMG Recordings, Inc., P ℗ 2018 Island Records, a division of UMG Recordings, Inc.",2018
4801,spotify:track:3SYfAEAIkw66szw7cFKyty,I’m Still Hot - Original,spotify:artist:4ugGMtXC28CVR5hlYJy9wV,Luciana,spotify:album:7cibzBkdJPPFpwsaOdNpy3,I'm Still Hot,spotify:artist:4ugGMtXC28CVR5hlYJy9wV,Luciana,2011-01-01,https://i.scdn.co/image/ab67616d0000b273e12a596826b25efb4f9cfc4b,1,1,186182,https://p.scdn.co/mp3-preview/917b28175f316f26e02d76f5706857f667f9d018?cid=9950ac751e34487dbbe027c4fd7f8e99,False,22,USEVP1100015,spotify:user:bradnumber1,2021-08-08T09:26:31Z,dance pop,0.894,0.747,7.0,-5.815,1.0,0.178,0.0297,0.0117,0.149,0.818,130.064,4.0,,Universal Music Australia Pty. Ltd.,"C © 2011 Audacious Records, P ℗ 2011 Audacious Records, under exclusive license to Hussle Recordings, a division of Ministry of Sound Australia Pty Ltd",2011
4802,spotify:track:25nzKGDiua1lE9Qo5V19GL,Young Blood,spotify:artist:0oeUpvxWsC8bWS6SnpU8b9,The Naked And Famous,spotify:album:5ImvJCAX33Pt2XGMaYaMia,"Passive Me, Aggressive You",spotify:artist:0oeUpvxWsC8bWS6SnpU8b9,The Naked And Famous,2010,https://i.scdn.co/image/ab67616d0000b273494e33d225ef37180f88c8ce,1,7,246600,https://p.scdn.co/mp3-preview/84f597711c2af3ce90921b2656033208603950c6?cid=9950ac751e34487dbbe027c4fd7f8e99,False,71,NZNK11000001,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"auckland indie,indietronica,kiwi rock,metropopolis",0.579,0.865,6.0,-4.692,1.0,0.0302,5.63e-05,0.000221,0.649,0.358,104.99,4.0,,Polydor Records,"C © 2011 Somewhat Damaged, Under Exclusive License To Polydor UK Ltd., P ℗ 2011 Somewhat Damaged, Under Exclusive License To Polydor UK Ltd.",2010
4803,spotify:track:6QKqavEniWv3JRrRL7BSu5,Loose Ends (feat. G Flip),"spotify:artist:6NFyaN9PMCDZ3LKxGwHAXt, spotify:artist:4SdIXLzfabqU61iK7SnKAU","Illy, G Flip",spotify:album:38KMqIlP56cp36qPOKYyQA,Loose Ends (feat. G Flip),spotify:artist:6NFyaN9PMCDZ3LKxGwHAXt,Illy,2020-07-17,https://i.scdn.co/image/ab67616d0000b2735f9517b8f5dbea0352600899,1,1,236855,https://p.scdn.co/mp3-preview/56738b1cc4976719c29e357243fad69993eb0963?cid=9950ac751e34487dbbe027c4fd7f8e99,False,38,AUBM02000405,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"australian hip hop,australian trap,australian alternative pop,australian pop",0.704,0.666,11.0,-6.652,0.0,0.0735,0.0511,0.00238,0.258,0.552,90.015,4.0,,Sony Music Entertainment,P (P) 2020 Illy under exclusive license to Sony Music Entertainment Australia Pty Ltd,2020
4804,spotify:track:0vLEtNZGjfUvAfjgfBmtk2,Wolfsbane,"spotify:artist:7oYWWttOyiltgT19mfoUWi, spotify:artist:2OaHYHb2XcFPvqL3VsyPzU","Love Ghost, Rico Nasty",spotify:album:24TPlhyivqqSjrPPRDvosu,Wolfsbane,spotify:artist:7oYWWttOyiltgT19mfoUWi,Love Ghost,2021-07-16,https://i.scdn.co/image/ab67616d0000b27350f94fe2ea0d28ab3296445a,1,1,179243,https://p.scdn.co/mp3-preview/be4e13c65b86e5cfba7ea819e07a4b1bb0e9993f?cid=9950ac751e34487dbbe027c4fd7f8e99,True,26,TCAFQ2157054,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"alternative r&b,trap queen",0.545,0.728,10.0,-6.172,1.0,0.0664,0.00896,0.0,0.294,0.22,151.915,4.0,,Love Ghost,"C 2021 Love Ghost, P 2021 Love Ghost",2021
4805,spotify:track:3XC7jqT27zQWdesY2rbwMf,Don't Hold Back,spotify:artist:34sQ4BJAwfwQsn9OgJtIzj,The Potbelleez,spotify:album:2DxK0vgADaZa48ElwMkLIF,The Potbelleez,spotify:artist:34sQ4BJAwfwQsn9OgJtIzj,The Potbelleez,2016-06-03,https://i.scdn.co/image/ab67616d0000b27341e221ea3a3c810b92adbbee,1,3,215041,https://p.scdn.co/mp3-preview/c19c6992685384fd10e96e56c124e18632f6ed32?cid=9950ac751e34487dbbe027c4fd7f8e99,False,47,AUNV01600917,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"aussietronica,australian dance,australian house,australian pop",0.646,0.811,6.0,-4.694,1.0,0.0526,0.00175,3.78e-05,0.103,0.311,127.951,4.0,,Universal Music Australia Pty. Ltd.,"C © 2016 Hussle Recordings, P ℗ 2016 Hussle Recordings",2016
4809,spotify:track:49X0LAl6faAusYq02PRAY6,Lady - Hear Me Tonight,spotify:artist:0AkpPlFLnr0VQwZQeMGht0,Modjo,spotify:album:0vwDxngkhZuwNbcxzebCXI,Modjo (Remastered),spotify:artist:0AkpPlFLnr0VQwZQeMGht0,Modjo,2001,https://i.scdn.co/image/ab67616d0000b27354c5c304064df85d61253ac7,1,3,307153,https://p.scdn.co/mp3-preview/05e58f0bcf5a9a29f60d5aa4fd685a528a59f328?cid=9950ac751e34487dbbe027c4fd7f8e99,False,80,FR9W10100535,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"disco house,filter house",0.72,0.808,6.0,-5.627,1.0,0.0379,0.00793,0.0293,0.0634,0.869,126.041,4.0,,Modjo Music,"C Modjo Music except Track 3: Modjo Music/Unidisc, P Modjo Music except Track 3: Modjo Music/Unidisc",2001
4815,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Lover,spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,spotify:album:1NAmidJlEaVgA3MpcPFYGq,Lover,spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,2019-08-23,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,1,3,221306,https://p.scdn.co/mp3-preview/aad996e106de5278d8387dc838e8f08105dcd588?cid=9950ac751e34487dbbe027c4fd7f8e99,False,92,USUG11901473,spotify:user:bradnumber1,2021-08-08T09:26:31Z,pop,0.359,0.543,7.0,-7.582,1.0,0.0919,0.492,1.58e-05,0.118,0.453,68.534,4.0,,Taylor Swift,"C © 2019 Taylor Swift, P ℗ 2019 Taylor Swift",2019
4816,spotify:track:0c55VBoJ66KEqYtUFryoFI,Cuz I Love You,spotify:artist:56oDRnqbIiwx4mymNEv7dS,Lizzo,spotify:album:7hBV0wo7cDHZQLYnuOJ312,Cuz I Love You (Super Deluxe),spotify:artist:56oDRnqbIiwx4mymNEv7dS,Lizzo,2019-04-17,https://i.scdn.co/image/ab67616d0000b273bf7d271b8f3051af3cf0bf55,1,1,180954,https://p.scdn.co/mp3-preview/e2ac7ea9895f51f0c1ecbc6594fdf51c9709612b?cid=9950ac751e34487dbbe027c4fd7f8e99,False,37,USAT21902515,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"escape room,minnesota hip hop,pop,trap queen",0.565,0.659,1.0,-4.057,1.0,0.0489,0.0159,0.0,0.235,0.519,162.178,3.0,,Nice Life/Atlantic,"C © 2019 Nice Life Recording Company and Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States., P ℗ 2019 Nice Life Recording Company and Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States.",2019
