,name,album,artist,id,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,track_genre,mood_Calm,mood_Energetic,mood_Happy,mood_Sad
1765,Tempos Insanos,Quilombo do Futuro,Maga Bo;BNegão,2dm8zEG6pMfPJH6OffiHFJ,18,123901,0.871,0.0218,0.889,4.07e-05,0.336,0.557,-7.84,0.394,99.926,6,4,afrobeat,1.9797943e-07,0.68555045,0.30671367,0.0077356016
1810,Haven`t You Heard?,Haven`t You Heard?,TJ Cream;Ozoro,3oZWXld4ObidTo8tShLNxZ,17,189048,0.865,0.148,0.443,0.0,0.0609,0.738,-11.879,0.414,160.001,6,4,afrobeat,5.0037524e-05,0.055248857,0.275499,0.669202
1873,Faut Pas Dire Des Choses Comme Ça,Voiciii,Voilaaa;Pat Kalla,4iJpsYr99D3Me2baq7kke9,16,275162,0.738,0.473,0.717,1.39e-05,0.21,0.936,-13.001,0.391,134.668,6,4,afrobeat,5.281891e-05,0.03625468,0.301632,0.66206056
3516,Dancing Queen,Walk - Fresh Rap Flow,Baby Tate,1pHZE51cJngQqCRdvpItly,0,193076,0.908,0.00656,0.559,0.0,0.234,0.616,-6.329,0.333,143.993,11,4,alternative,1.3589475e-06,0.2602882,0.6541298,0.08558067
3676,Speed Law,The Best 90s Hip Hop Hits,Mos Def,0CrCW8u5hXD6Ztd7V8ay1i,3,256453,0.794,0.0565,0.667,0.0,0.407,0.695,-7.636,0.373,98.02,11,4,alternative,6.8814243e-06,0.30401787,0.57300407,0.122971326
3730,The Jump Off,Rap Homage,Lil' Kim,5Jas2qVhUKLesoVG863UDh,0,234173,0.856,0.238,0.755,1.15e-05,0.0571,0.926,-8.513,0.34,104.961,1,4,alternative,1.0158881e-06,0.102670655,0.72334176,0.17398655
3745,Lighters Up,The Hip Hop Collection,Lil' Kim,063WxqGkf9CzQ4Ug4hipaR,0,262640,0.624,0.00494,0.764,0.0,0.107,0.719,-6.31,0.396,91.73,9,4,alternative,3.661874e-05,0.18055809,0.47380945,0.34559587
3787,Bottom of the Bottle,Rap Geek,Curren$y;August Alsina;Lil Wayne,6Wvzj0D4DXvqpzLhE2LTIN,0,238359,0.736,0.0151,0.537,0.0,0.212,0.831,-9.739,0.356,85.079,6,4,alternative,0.000112986345,0.0518461,0.34106937,0.6069715
3901,Simon Says,Simon Says,Pharoahe Monch,67IvfvAMYQzJEeHopvwMMW,64,173159,0.664,0.17,0.916,1.67e-05,0.164,0.559,-3.888,0.473,93.134,1,4,alternative,2.3851494e-06,0.6478234,0.3048062,0.047367983
4853,Kintsugi,Kofū,Meitei,7I8v42wxDhfojsq3APrXU0,51,66061,0.484,0.987,0.698,0.819,0.0833,0.64,-19.799,0.431,115.529,6,5,ambient,0.9999415,1.0881098e-09,1.7594436e-07,5.8334965e-05
6296,The Great Leap Forward - Live 80 Meters Deep,From Down Below - Live 80 Meters Deep,Moonspell,1AOWSGUA9YCuWRq5mZS6v1,20,445133,0.316,0.000904,0.982,0.887,0.38,0.0355,-7.799,0.334,120.014,7,4,black-metal,0.00025334692,0.26062363,0.38619396,0.35292903
6490,The Road to…,A New Kind of Horror,Anaal Nathrakh,0tog32XyW73PlwctgUE503,18,109000,0.15,0.0798,0.824,0.759,0.237,0.0224,-10.281,0.453,106.626,10,4,black-metal,0.18065009,0.05338587,0.040311605,0.72565234
6632,De Doden Hebben Het Goed III,De Doden Hebben Het Goed III,Wiegedood,0iGDA9e2XMpDjvPbDnGYA8,18,734098,0.115,0.000155,0.999,0.872,0.219,0.0177,-7.163,0.362,75.817,9,4,black-metal,0.0058812024,0.010243006,0.05410304,0.9297728
8418,Voodoo Child (Slight Return),Electric Ladyland,Jimi Hendrix,2AxCeJ6PSsBYiTckM0HLY7,68,313373,0.214,0.477,0.91,0.00833,0.0517,0.448,-6.662,0.389,175.549,8,4,blues,0.00011783767,0.31291956,0.37235403,0.3146085
8466,Face In The Dark (ft. Panther),Face In The Dark,City Wolf,0Z9TafIwWJgQxSmqnsPwLI,52,213159,0.47,0.0466,0.961,0.0,0.305,0.648,-0.868,0.363,164.899,7,4,blues,1.9375557e-09,0.86485654,0.13484669,0.00029674248
8618,El Reporte De Hoy,El Rey Leon (Edición Especial),Eduardo Tejedo;Héctor Lama;Alan Piz Morán,4h9nt7QsqBHYmS4B0wpLNU,35,95480,0.528,0.335,0.578,0.0,0.307,0.852,-9.162,0.447,154.117,10,4,blues,0.00043733104,0.13109061,0.29425478,0.5742173
8646,Shoppin' for Clothes,R'n'B Studying,The Coasters,1pWnxqaHgd6Ql3zhcVATWd,0,178880,0.613,0.683,0.229,0.0,0.197,0.578,-14.887,0.353,85.854,7,4,blues,0.07871009,0.0007043603,0.009226394,0.9113592
8693,Mr. Lee,Mr. Lee: The Best of the Bobbettes,The Bobbettes,7jU7bkSuD3q3D40ogwlhgE,36,135573,0.493,0.607,0.602,1.82e-06,0.122,0.872,-9.836,0.334,203.334,5,4,blues,0.00016691086,0.10538121,0.3738264,0.5206254
8842,Rue Ontario,Rue Ontario,Bernard Adamus,0zEl9xcPPZLbcIymdAdXLh,33,184000,0.835,0.0783,0.72,0.0,0.375,0.572,-4.977,0.341,124.027,11,4,blues,3.2272334e-07,0.5662843,0.422212,0.011503243
8984,The Same Thing (Running Out Of Lies Medley),Every Woman Deserves 2 B Satisfied,Da Problem Solvas,6huvp6CQZvt2xNVqAXWg9s,31,298546,0.811,0.353,0.369,0.0,0.725,0.725,-9.592,0.373,163.35,9,3,blues,5.008765e-06,0.35144734,0.54064447,0.10790304
10041,Leopard Slug - MISSIN Remix,The Resonance IV,Noisia;MISSIN,1skAjOzYLNnhDRmHzu4GhP,27,212093,0.662,0.0773,0.898,0.256,0.113,0.303,-2.446,0.412,171.922,6,4,breakbeat,2.1378816e-07,0.86600244,0.12945303,0.0045443443
10134,Still Alive,Blood in Blood Out,Amb,6BuTnrx1AQzAdqBXgXT5QA,20,180280,0.753,0.149,0.89,0.0,0.304,0.93,-5.73,0.426,156.005,10,4,breakbeat,7.916526e-09,0.61500597,0.38171053,0.003283518
10269,The Future Belongs to Us,Higher Than the Eiffel,Audio Bullys,4G43ZaiGpjzW15hbVBG0Jr,16,294920,0.864,0.185,0.652,0.00136,0.121,0.688,-4.575,0.351,124.998,1,4,breakbeat,1.1456912e-06,0.13410062,0.7168788,0.14901945
10332,Flickery Vision - Extended Mix,"Relax, This Won't Hurt",Audio Bullys,46isbLazuTWYLoIgQka2L5,15,302893,0.856,0.0704,0.56,0.000453,0.0797,0.809,-5.408,0.349,129.983,7,4,breakbeat,1.8392834e-06,0.106272034,0.68390584,0.20982032
10373,Feel Alright,Higher Than the Eiffel,Audio Bullys,5blKyhRxv5F2pMhGsyVibK,15,271440,0.662,0.167,0.83,5.55e-05,0.105,0.525,-2.467,0.394,99.939,3,4,breakbeat,6.1966593e-06,0.3689384,0.5067297,0.1243258
10454,Nova,Closer,Noisia;Camo & Krooked,68TL2jafwq6hwl6ExBY6JK,37,276430,0.667,0.372,0.735,0.208,0.108,0.1,-4.025,0.349,86.059,10,4,breakbeat,0.008153102,0.0470579,0.07355959,0.87122947
10502,You've Changed,Master of Shadows,Datsik,6IfFKsVDgkHOhjLzSGFu1W,33,201600,0.512,0.00991,0.902,3.88e-06,0.109,0.3,-2.625,0.382,112.534,1,3,breakbeat,2.4770263e-06,0.90627515,0.0885531,0.005169166
10560,Rise & Shine,All Colors (Preview 2),Bassnectar,4vdOkAa2BXmuI8DsNUmOUr,14,246857,0.487,0.0161,0.949,0.0144,0.203,0.174,-2.886,0.481,139.806,0,4,breakbeat,9.227401e-08,0.9238229,0.07409116,0.0020859807
10640,Scream My Name,Blood in Blood Out,Amb,6vfN8iZHaJZ1zMKfzSEL19,11,181520,0.619,0.0162,0.83,0.0,0.163,0.929,-5.967,0.335,89.216,7,4,breakbeat,8.2614997e-07,0.41772848,0.55218303,0.03008771
10737,Right Now,Blood in Blood Out,Amb,2WC9rDC7aw6bzsA9ZwRVqx,11,194026,0.816,0.126,0.701,0.0,0.29,0.734,-5.911,0.368,93.963,2,4,breakbeat,1.7301579e-06,0.2585441,0.6456023,0.09585176
10841,Spitfire - Nightbreed Mix,Spitfire,The Prodigy,3fZbfZCGmCcVVRLvNmKvMz,12,368760,0.401,0.000675,0.987,0.573,0.266,0.146,-3.567,0.342,178.075,2,4,breakbeat,2.1300224e-07,0.79296255,0.20203173,0.0050055347
10953,All The Way Up - Original Mix - Mixed,Junglist Workout (DJ Mix),Deekline;Specimen A,7eLz4glubZQq1nZKE8ZoUY,20,68571,0.777,0.0157,0.881,0.0,0.279,0.559,-5.301,0.346,175.282,7,4,breakbeat,6.9254518e-09,0.8503583,0.14903711,0.0006045965
11924,My Apology,Flo'Ology,Floetry,1L1BuZ1srrzwArhayeI5yH,29,246453,0.514,0.062,0.61,1.04e-05,0.265,0.527,-7.808,0.406,98.68,10,4,british,0.0011944114,0.113457225,0.22564419,0.65970415
13156,Silver Screen (Shower Scene),Kittenz And Thee Glitz,Felix Da Housecat,65EBIxct6KqP1Tm5jrOzex,45,280653,0.816,0.000323,0.747,0.231,0.136,0.389,-8.058,0.348,120.976,9,4,chicago-house,9.730294e-05,0.21882595,0.36963353,0.41144314
13161,Let Me Show You Love - Quick Dub,"Let Me Show You Love (Classic 12"")",Romanthony,3jyzLfHsbAD7kiQu8MllcH,13,314688,0.913,0.00187,0.18,6.24e-06,0.211,0.703,-10.984,0.416,121.102,1,4,chicago-house,9.8241006e-05,0.022669973,0.23054394,0.7466879
13165,Let Me Show You Love - Crooklyn Mix,"Let Me Show You Love (Classic 12"")",Romanthony,5U1yg4hYNKKOcxwDdmr4BE,14,263401,0.886,0.0077,0.415,2.08e-06,0.109,0.743,-9.776,0.475,121.045,0,4,chicago-house,2.7926028e-05,0.042785194,0.25092348,0.7062635
13217,I'm Gonna Dance Tonight - Original Mix,The Groove I Have LP,Paul Johnson,1Weoa6up0EPWrkK0J1WzQf,13,294999,0.973,0.000711,0.895,0.268,0.119,0.38,-8.268,0.411,132.011,0,4,chicago-house,2.0055081e-06,0.39938393,0.44250846,0.1581057
13471,Let Me Show You Love - Kevin McKay's Luv101 Edit,"Let Me Show You Love (Classic 12"")",Romanthony;Kevin McKay,4uPQOi5PQapwSbMs97LcJG,7,487933,0.961,0.00174,0.235,0.000298,0.0758,0.539,-11.005,0.415,121.058,0,4,chicago-house,4.1962023e-05,0.02680828,0.29217002,0.6809797
13733,Raindance (feat. Rona Ray) - House of Omni Paradox Dubb Mixx,RAINDANCE,Gershon Jackson;House of Omni;Rona Ray,4BZXFao5VOu684AV17vSpc,5,355200,0.89,0.0715,0.468,0.0107,0.0936,0.397,-10.627,0.339,124.974,6,4,chicago-house,0.0002160418,0.06941081,0.31098312,0.61939
13802,Hold On - Classic Vocal,Hold On,Romanthony,5KKyQmvhDblL9h24iMMDzC,5,385753,0.667,0.00569,0.865,2.38e-06,0.101,0.489,-5.116,0.396,119.79,4,4,chicago-house,5.2178066e-06,0.3356569,0.53155386,0.13278401
13840,Bring U Up (feat. The Trojan Horse) - Original Black Male Version,Bring U Up (2012 Remixes),Romanthony;The Trojan Horse,08CjwUpa0xhImJCJ0NvkHG,5,444290,0.819,0.0374,0.743,4.81e-05,0.0971,0.624,-4.096,0.399,125.604,1,4,chicago-house,7.865721e-07,0.13389084,0.72647524,0.1396331
13902,Растаман,Растаман,Mr. Lee,2MX0wTfCJvCIa5BnAD5jCh,5,185966,0.847,0.618,0.398,0.0374,0.104,0.137,-10.012,0.38,122.066,1,4,chicago-house,0.0035474445,0.012555343,0.045403585,0.93849367
15050,Happier Than Ever,Happier Than Ever,ASTN,7es56D0QedGMsK39wl2yFX,76,109325,0.667,0.341,0.457,0.0,0.114,0.266,-6.885,0.439,97.604,6,4,chill,0.009412854,0.018509893,0.030449666,0.9416275
15061,Falling for U,Falling for U,Peachy!;mxmtoon,2xhGZ3WzOa3tir28y7Cb88,74,124000,0.719,0.748,0.36,2.18e-06,0.0812,0.409,-12.034,0.398,80.184,6,4,chill,0.07406769,0.0013529608,0.008474779,0.9161045
15087,"eyes blue or brown, can't remember","eyes blue or brown, can't remember",untrusted;pretence;11:11 Music Group,3VOgOT6SNjrRjhjuisphY7,66,180833,0.751,0.885,0.354,0.179,0.206,0.781,-14.518,0.446,143.87,10,4,chill,0.008073222,0.00023521016,0.0060444423,0.9856471
15117,4:44 Am,4:44 Am,Kochetkovv,6kD7n19O9VEYQwENniEvPi,67,121965,0.809,0.975,0.282,0.00176,0.202,0.778,-10.038,0.433,129.89,0,4,chill,0.0012081149,0.0009294524,0.021414807,0.97644764
15143,Coming for You - Freestyle,"Coming for You (feat. Loski, Bandokay & Izzpot) [Remix]",SwitchOTR,19mM8MZLnS27poKhi2vDhn,66,70285,0.898,0.219,0.303,0.000962,0.0633,0.68,-6.68,0.403,140.23,6,4,chill,7.1371345e-05,0.03999273,0.22962949,0.73030645
15149,Window Blues,Hidden Gems,French The Kid,7uFXMTRazF955qkJWgPBQJ,0,194693,0.686,0.617,0.543,0.0,0.111,0.142,-9.096,0.401,68.241,9,3,chill,0.13182047,0.004348297,0.009071195,0.85476
15151,Galaxy,Strawberry Skies (Deluxe Edition),Kid Travis;Eluzai,2LL8v2NXuuzkV9N1G2m7oE,58,169415,0.722,0.148,0.582,2.67e-06,0.044,0.892,-8.231,0.403,169.917,10,4,chill,7.509862e-06,0.12513626,0.52299327,0.35186303
15269,All Alone,All Alone,Sølace,4NHsEHQtUKErl9uXA6Y0nm,57,147000,0.601,0.776,0.556,0.0465,0.236,0.457,-10.722,0.395,80.003,7,4,chill,0.07631812,0.0014370806,0.010600053,0.91164476
15324,Champagne Shots,Local Mvp,Sainte,7dbyaRWWFvB9UG2vcwTd3J,71,144000,0.942,0.493,0.441,0.0,0.138,0.925,-11.448,0.469,135.028,11,4,chill,5.45164e-05,0.005713984,0.106963165,0.88726825
15330,lemme land?,lemme land?,Canking;Ess2Mad,4Fmr4dbY1sZiX77ZbljNFC,69,146878,0.875,0.136,0.593,0.0,0.104,0.466,-10.261,0.394,144.028,7,4,chill,7.643623e-05,0.15172549,0.2911439,0.5570541
15373,viola,unexpected,eevee,2U42jVkNgEU6DoM64eFD7i,56,86571,0.645,0.967,0.114,0.831,0.112,0.191,-15.768,0.356,78.015,9,4,chill,0.9999891,3.0337182e-12,2.1147517e-09,1.0832631e-05
15378,F My Ex,F My Ex,KAVO,1QwuUvd5IEsyLrB47jEOpB,60,164595,0.894,0.148,0.435,0.0,0.0736,0.717,-10.47,0.417,140.02,11,4,chill,7.744002e-05,0.036237944,0.21022265,0.75346184
15402,October Eyes,October Eyes,Alt Bloom,14WC3aPKp9cGWMErF8lkza,58,147790,0.618,0.719,0.52,0.0117,0.146,0.698,-9.232,0.367,144.922,4,4,chill,0.0019141039,0.008829068,0.078735895,0.91052085
15411,She Wonders Why,She Wonders Why,Astrus*,5PfrevbzpZzMtv4bVld9xq,59,131201,0.671,0.468,0.288,0.0,0.139,0.42,-14.176,0.496,68.287,1,5,chill,0.13566786,0.0004055132,0.0033619972,0.8605646
15424,Talking Stage,Talking Stage,JBee,3Kim4tV3HTnpaELmIh56lI,66,177464,0.838,0.734,0.454,0.0,0.102,0.76,-10.074,0.35,142.114,11,4,chill,0.00023041765,0.012509265,0.1481325,0.83912784
15450,Down,Down,Hashir,1IJ5jZq2Qge2ZjBvw9ewiS,57,126010,0.493,0.219,0.521,0.71,0.0872,0.273,-12.464,0.375,68.699,5,1,chill,0.99927354,8.9462355e-07,4.5531892e-06,0.0007210722
15458,Mi Amor,Mi Amor,Vluestar;Shiloh Dynasty,3ZlCSvH7Cj86NLMPZplXTU,59,73482,0.755,0.655,0.204,2.2e-05,0.189,0.335,-16.137,0.339,97.041,6,4,chill,0.2709798,0.00043912194,0.0069825696,0.72159857
15465,FELT,Born Erased,Nate Traveller,6xniBg7UJ03jcyvOgfWVJk,55,105045,0.573,0.735,0.559,3.02e-06,0.125,0.62,-8.365,0.397,105.037,0,4,chill,0.005506033,0.0056603933,0.035753533,0.95308
15476,$tars and I feel alone,$tars and I feel alone,Vluestar,3UAcFSrt3b8pVbJ0Z1YGSE,59,132858,0.567,0.86,0.214,8.69e-05,0.12,0.56,-18.41,0.444,86.251,0,4,chill,0.61225003,4.950242e-05,0.00056355016,0.3871369
15494,I Am So Sad... I am So Very Very Sad,Before The Big Picture,Alrahim Wright III,4zCP9shp3aiL68yGQ8v8DE,58,111560,0.779,0.0497,0.448,0.0,0.114,0.167,-12.089,0.333,122.062,0,4,chill,0.0023177124,0.12535053,0.21617807,0.65615374
15584,Flowers on the Freeway,Flowers on the Freeway,Cody Lovaas,5KxOgXzWV6bwyjxeJ5ynjJ,53,166005,0.757,0.405,0.492,0.0,0.203,0.284,-5.642,0.337,76.038,0,4,chill,0.0016032367,0.048533216,0.16069388,0.7891697
15588,Just Hold Me,Just Hold Me,Ely Waves,4pbcWPWlVftf3uSTDE3NQD,52,204771,0.704,0.258,0.566,0.0,0.0564,0.323,-10.917,0.346,118.142,10,4,chill,0.004507205,0.040166244,0.081464596,0.87386197
15595,Love the Way You Lie (Remix),Love the Way You Lie (Remix),fenekot;Seon,1yGdGANHr6ZBSC1i52WvZ0,52,97500,0.441,0.897,0.504,0.000301,0.279,0.144,-9.469,0.359,169.824,7,4,chill,0.02121409,0.0059354138,0.028702753,0.94414777
15601,I Dont Wanna Know Her,Passion & Confusion,Timmies;Shiloh Dynasty,7AcGFRQPq3kNArX1RU3cPM,58,122204,0.836,0.599,0.287,0.00439,0.352,0.358,-14.701,0.342,109.934,9,3,chill,0.01836857,0.0013693412,0.018341849,0.9619201
15610,Will You Stay Here with Me,Harbor,Tomppabeats,4S2skQrxky4uE2zqskAkdc,52,71111,0.775,0.591,0.345,0.409,0.105,0.872,-9.911,0.372,81.046,1,4,chill,0.0038028935,0.0011264185,0.020574944,0.97449565
15625,24's,24's,JBee,6pe4kkc27IKSkubhLY7a5C,66,166027,0.54,0.329,0.538,0.0,0.106,0.607,-10.838,0.389,97.542,7,5,chill,0.006704403,0.009457674,0.052522738,0.93131506
15686,Chill Calling,Chill Calling,Fatboibari;dhan,5ufI5Y3qHuOkt9xXQrXktF,55,99474,0.521,0.142,0.27,0.0,0.334,0.345,-17.214,0.34,103.144,8,1,chill,0.5048238,0.0022706154,0.0036078284,0.48929772
15693,"Dear Depression,","Dear Depression,",Presence,30k0wGukDZlauyrRU4hTc2,57,139285,0.476,0.81,0.549,0.000226,0.141,0.167,-10.426,0.395,182.104,4,4,chill,0.01060183,0.010443782,0.034173124,0.9447813
15701,dreamin',dreamin',53 Thieves,4PlzJVdaRYC9Fg2AqlOxer,55,207705,0.831,0.359,0.419,0.00228,0.0959,0.339,-7.381,0.44,84.983,1,4,chill,0.0016227779,0.010667059,0.042295065,0.945415
15712,over u,over u,keshi,6dMnsLoJPFfXIxcsDqjGiZ,58,179777,0.911,0.249,0.257,5.68e-05,0.324,0.193,-11.601,0.348,130.045,8,4,chill,0.00237378,0.013580005,0.109942645,0.87410355
15733,Left Back - Remix,Left Back (Remix),Ronzo;COMFY,43IYnqZj6slsFqPTmBNS4E,65,180413,0.904,0.468,0.654,0.0,0.0617,0.805,-9.292,0.345,144.966,11,4,chill,8.813662e-06,0.065715656,0.5310961,0.40317932
15742,Something Like a Love Song,Beyond Your Imagination,Yusei,14GkOLSlvq2Q09fFbIgK2u,13,293403,0.492,0.925,0.416,0.856,0.15,0.468,-11.569,0.393,67.202,0,3,chill,0.98831856,1.5855012e-07,2.726093e-06,0.011678536
15746,Evening in Shinjuku,Beyond Your Imagination,Yusei,6IKFQoaB3qXwybUDKncXml,8,290961,0.492,0.984,0.406,0.818,0.195,0.326,-13.565,0.414,121.762,4,4,chill,0.9565097,8.355652e-07,2.2067044e-05,0.043467276
15758,Sad Life,Sad Hours,SHRK;Shiloh Dynasty,53Ij4HRTp0f6DTlmXWh46h,56,181198,0.613,0.775,0.428,0.577,0.0932,0.219,-16.208,0.337,101.041,1,4,chill,0.99521464,7.747272e-07,3.1324387e-05,0.004753129
15770,Two Years Clear,Two Years Clear,Idi Akz,0wCWfjqo0FV1CDseDGD0cV,66,205053,0.695,0.183,0.552,0.0,0.154,0.665,-9.271,0.434,142.818,1,4,chill,0.00010194739,0.09196927,0.26920018,0.6387285
15773,Spaceship,$ad Boy,TOB Duke,2424U9txykZM3ts7f5gsq3,62,151658,0.539,0.868,0.47,0.0,0.0594,0.805,-10.013,0.389,177.087,1,4,chill,0.0018814706,0.0057182107,0.060748108,0.93165225
15791,Why Did I Fall In Love,Why Did I Fall In Love,jesvn,0VvlSQ6yIwlKw5MCFU0lZv,44,130132,0.729,0.741,0.549,0.0,0.11,0.771,-11.366,0.351,144.887,4,4,chill,0.0006271989,0.011044166,0.119989246,0.86833936
15801,Day by Day,Day by Day,Fiji Blue,7ennBS5KF7XksS3WvusJSS,53,177080,0.914,0.674,0.532,0.000442,0.114,0.754,-8.657,0.333,116.961,10,4,chill,6.595877e-05,0.026250258,0.28451324,0.68917054
15837,Rain on Me,College Music Presents: Lift Off,Sarcastic Sounds;Mishaal,424BvqWZGwElx31qh0B2jw,52,103374,0.718,0.963,0.385,0.000156,0.32,0.466,-11.405,0.398,112.361,3,4,chill,0.011567758,0.0008854885,0.013467918,0.97407883
15838,Tell Me Why (feat. Shiloh Dynasty),Tell Me Why (feat. Shiloh Dynasty),Danny G;Shiloh Dynasty,07njv8LyAizW6MnaORtuEl,58,161016,0.77,0.447,0.621,0.0,0.158,0.301,-7.635,0.454,126.289,1,4,chill,0.00051923713,0.060592625,0.109448835,0.8294392
15874,Girl How Will I Love You,Misspoken,Timmies;Mishaal,5ONJ9mrQrCkO3G7LQi4wfE,48,99942,0.705,0.398,0.259,5.63e-05,0.0571,0.502,-8.796,0.374,172.476,1,4,chill,0.0017400597,0.020573111,0.08826066,0.8894262
15878,Frozen Gold,Frozen Gold,MKAY,0yKiMguQ0krHIg1mnZxHaC,65,138110,0.88,0.252,0.309,0.0,0.0804,0.592,-17.457,0.394,139.991,11,4,chill,0.0021887126,0.0043453635,0.03318252,0.9602833
15906,crush on you,Gentle Boy,Elijah Who,1vlzSY7AttAiAvSEe1JbVs,57,84023,0.578,0.883,0.172,3.32e-06,0.401,0.424,-13.684,0.35,138.717,1,4,chill,0.07784292,0.0007856452,0.008579605,0.91279185
15930,Antisocial,Antisocial,iithe1st,57u3aZ3wDng54JbmWtM1ZL,64,122553,0.895,0.664,0.72,0.0,0.103,0.72,-4.21,0.338,141.061,2,4,chill,1.4667279e-06,0.123411715,0.6829863,0.19360057
15935,You Know That I Don't Play,Love Is the Same as Sadness,CORBAL;Shiloh Dynasty;itssvd,0chYhbmecFWGmfysKa3vO5,54,72676,0.476,0.956,0.563,0.0173,0.123,0.376,-13.965,0.469,79.463,7,4,chill,0.9779802,6.2555364e-06,3.4883462e-05,0.021978632
15997,Late Night Trips,Late Night Trips,Alex1,0hVvkB1j1SC9FQHShpQoYU,63,97436,0.824,0.24,0.459,1.06e-06,0.139,0.4,-12.061,0.42,137.999,0,4,chill,0.0006732377,0.04097097,0.11283243,0.8455233
17051,Controlla Anthem,Controlla Anthem,DJ Flex;Kyle Edwards,4C7j2x6EiKygp7V1LjINCO,39,110210,0.904,0.00645,0.871,5.21e-06,0.0697,0.346,-8.588,0.403,144.993,8,4,club,5.6123014e-07,0.7763731,0.20438814,0.019238178
17091,Serei A,Pajubá,Linn da Quebrada;Liniker,4pfxefygvuMNU3zuBP02LM,30,259178,0.75,0.197,0.828,8.8e-05,0.253,0.301,-7.185,0.372,170.025,6,4,club,1.3192565e-06,0.69783455,0.2834745,0.018689714
17102,Play No Games (No Guidance),Play No Games (No Guidance),Mvntana;Jdub,5PqLykInqe8C45DRkcIW0F,16,101093,0.872,0.0351,0.599,0.000413,0.34,0.631,-9.701,0.405,152.086,1,4,club,1.4352046e-06,0.38246247,0.56054294,0.056993127
17151,Saint Laurent,Saint Laurent,DJ Sliink;Skrillex;Wale;Austin Millz,2AHnUkgAkoOFnkvwRIezrK,39,152727,0.551,0.0117,0.765,0.0016,0.224,0.537,-7.661,0.358,131.712,1,4,club,3.5822259e-06,0.78689647,0.20260586,0.010493994
